listing_id,title,price,expiration_date,location,url,auction_status,category,collected_at
335303,"Neįrengta pastogė 2426/10000 dalis, 63,06 kv. m Vilniaus m. sav. Vilniaus m. Išganytojo g. 2",9040.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Išganytojo g. 2,https://www.eaukcionai.lt/evs/pages/auction.do?id=336505&number=335303,Paskelbtas,Apartments,2026-09-08 17:50:08
335305,"Butas 1 kamb., 19,95 kv. m Vilniaus m. sav. Vilniaus m. Kalvarijų g. 194-11B",46170.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Kalvarijų g. 194-11B,https://www.eaukcionai.lt/evs/pages/auction.do?id=336506&number=335305,Paskelbtas,Apartments,2026-09-08 17:50:08
335307,"Kambarys 1 kamb., 18,62 kv. m Vilniaus m. sav. Vilniaus m. Kalvarijų g. 198-40",39455.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Kalvarijų g. 198-40,https://www.eaukcionai.lt/evs/pages/auction.do?id=336507&number=335307,Paskelbtas,Apartments,2026-09-08 17:50:08
335309,"Butas 2 kamb., 36,9 kv. m Vilniaus m. sav. Vilniaus m. Kalvarijų g. 43-11",39804.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Kalvarijų g. 43-11,https://www.eaukcionai.lt/evs/pages/auction.do?id=336508&number=335309,Paskelbtas,Apartments,2026-09-08 17:50:08
335311,"Neįrengta pastogė 3679/22709 dalis, 227,09 kv. m Vilniaus m. sav. Vilniaus m. Kapsų g. 8",5341.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Kapsų g. 8,https://www.eaukcionai.lt/evs/pages/auction.do?id=336509&number=335311,Paskelbtas,Apartments,2026-09-08 17:50:08
335313,"Sandėlis 0 kamb., 10,35 kv. m Vilniaus m. sav. Vilniaus m. Kenos g. 10-12",10488.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Kenos g. 10-12,https://www.eaukcionai.lt/evs/pages/auction.do?id=336510&number=335313,Paskelbtas,Apartments,2026-09-08 17:50:08
335315,"Sandėlis 0 kamb., 9,58 kv. m Vilniaus m. sav. Vilniaus m. Kenos g. 10-13",9701.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Kenos g. 10-13,https://www.eaukcionai.lt/evs/pages/auction.do?id=336511&number=335315,Paskelbtas,Apartments,2026-09-08 17:50:08
335318,"Butas 1 kamb., 52,32 kv. m Vilniaus m. sav. Vilniaus m. Konduktorių g. 18-2",40257.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Konduktorių g. 18-2,https://www.eaukcionai.lt/evs/pages/auction.do?id=336512&number=335318,Paskelbtas,Apartments,2026-09-08 17:50:08
335320,"Neįrengta pastogė 372/1000 dalis, 56,34 kv. m Vilniaus m. sav. Vilniaus m. Lenkų g. 24",2341.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Lenkų g. 24,https://www.eaukcionai.lt/evs/pages/auction.do?id=336514&number=335320,Paskelbtas,Apartments,2026-09-08 17:50:08
335322,"Butas 2 kamb., 40,45 kv. m Vilniaus m. sav. Vilniaus m. Liepkalnio g. 43-4",28350.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Liepkalnio g. 43-4,https://www.eaukcionai.lt/evs/pages/auction.do?id=336515&number=335322,Paskelbtas,Apartments,2026-09-08 17:50:08
